Date,value,Model Code,Model check code
1985-04-01,28.66,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1985-05-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1985-06-01,27.84,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1985-07-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1985-08-01,27.87,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1985-09-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1985-10-01,29.07,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1985-11-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1985-12-01,29.38,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1986-01-01,25.37,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1986-02-01,19.37,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1986-03-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1986-04-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1986-05-01,14.74,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1986-06-01,13.92,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1986-07-01,12.29,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1986-08-01,11.98,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1986-09-01,14.31,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1986-10-01,15.07,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1986-11-01,14.57,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1986-12-01,15.34,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1987-01-01,17.33,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1987-02-01,18.1,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1987-03-01,18.04,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
